                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.64451,                 1.1787,                0.53415,                 1.1158,                0.94779,                 0.8913,                0.95839,                0.63682,                0.83307,                0.78261,                0.78235,                0.48545,                 1.1021,                 1.8168,                0.70251,                 1.8531,              0.0008714,              0.0008714,              0.0008714
                     59,                0.64618,                  1.168,                0.53741,                 1.1222,                0.94927,                 0.8913,                0.95848,                0.66843,                0.91181,                0.78261,                0.79614,                 0.5369,                 1.0582,                 1.8672,                0.75372,                 1.6737,              0.0008516,              0.0008516,              0.0008516
                     60,                0.63254,                 1.1806,                0.52784,                 1.1147,                0.95531,                0.92949,                0.97806,                0.67162,                0.82218,                0.70374,                0.72789,                0.45699,                 1.0519,                 2.8481,                0.71304,                 1.7324,              0.0008318,              0.0008318,              0.0008318
                     61,                0.62102,                 1.1055,                   0.51,                 1.1082,                      1,                0.95034,                0.98564,                0.69892,                0.87863,                0.78692,                0.79913,                0.52316,                  1.074,                 2.1198,                0.74545,                 1.7012,               0.000812,               0.000812,               0.000812
                     62,                0.62908,                 1.0997,                0.52369,                 1.1085,                0.93749,                0.97817,                0.98145,                0.65326,                0.88011,                0.78261,                0.82244,                0.50896,                 1.1838,                 2.1035,                0.75312,                 1.9051,              0.0007922,              0.0007922,              0.0007922
                     63,                0.59993,                 1.0758,                0.48495,                 1.0914,                0.91869,                      1,                0.98558,                0.66799,                0.95095,                0.84302,                0.84549,                0.49075,                 1.0675,                 2.2526,                0.71951,                 1.7027,              0.0007724,              0.0007724,              0.0007724
                     64,                0.61182,                 1.0722,                0.50777,                 1.1022,                0.93408,                0.93478,                0.96788,                0.68065,                0.92104,                0.76077,                 0.8136,                0.54474,                 1.0101,                 1.8148,                0.70134,                  1.608,              0.0007526,              0.0007526,              0.0007526
                     65,                0.59679,                 1.1086,                0.48829,                 1.1036,                 0.8978,                 0.8913,                0.95564,                0.65319,                0.82892,                0.73913,                0.72857,                0.49233,                 1.1292,                 2.7259,                0.67267,                  1.807,              0.0007328,              0.0007328,              0.0007328
                     66,                0.62184,                  1.172,                0.53066,                 1.0929,                0.97613,                0.88889,                0.95615,                 0.6678,                0.87344,                0.78261,                0.77014,                0.52118,                 1.1077,                 2.1071,                0.73181,                 1.7491,               0.000713,               0.000713,               0.000713
                     67,                0.58842,                   1.09,                0.49139,                  1.087,                0.81551,                0.93478,                0.93957,                0.65592,                0.86791,                0.71428,                 0.7587,                0.49842,                 1.0725,                 2.0052,                0.70184,                 1.7409,              0.0006932,              0.0006932,              0.0006932
                     68,                0.60532,                 1.0772,                0.48818,                 1.0895,                0.86391,                0.86957,                0.94225,                0.67129,                0.92144,                0.73913,                0.77163,                0.50924,                 1.0702,                 2.0648,                0.79157,                 1.7123,              0.0006734,              0.0006734,              0.0006734
                     69,                0.61219,                  1.058,                0.49177,                  1.092,                0.95542,                0.93181,                0.96697,                0.67431,                0.91126,                0.80435,                0.80201,                0.54067,                 1.0693,                 1.9635,                0.70848,                 1.7604,              0.0006536,              0.0006536,              0.0006536
